iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-4.735503673553467,-4.196760654449463,-4.58998441696167,-4.196760654449463,-5.146035194396973
2,-4.610046863555908,-4.215993404388428,-4.582492351531982,-4.196760654449463,-5.178253173828125
3,-4.738833904266357,-4.288496017456055,-4.608217716217041,-4.196760654449463,-5.217356204986572
4,-4.756422519683838,-4.322595596313477,-4.578531742095947,-4.196760654449463,-5.298313140869141
5,-4.75694465637207,-4.332726955413818,-4.62119197845459,-4.196760654449463,-5.298313140869141
6,-4.658969879150391,-4.094145774841309,-4.573618412017822,-4.094145774841309,-5.298313140869141
7,-4.759512424468994,-4.281219482421875,-4.5757737159729,-4.094145774841309,-5.321880340576172
8,-4.586992263793945,-4.31577730178833,-4.539050579071045,-4.094145774841309,-5.321880340576172
9,-4.585721015930176,-3.99007511138916,-4.563448905944824,-3.99007511138916,-5.321880340576172
10,-4.6876220703125,-3.799940824508667,-4.586204528808594,-3.799940824508667,-5.321880340576172
11,-4.685497760772705,-4.083595275878906,-4.57118034362793,-3.799940824508667,-5.3468194007873535
12,-4.587993144989014,-4.0174431800842285,-4.560361862182617,-3.799940824508667,-5.3468194007873535
13,-4.686903476715088,-4.39339017868042,-4.5605034828186035,-3.799940824508667,-5.3468194007873535
14,-4.583746433258057,-4.357897758483887,-4.56622314453125,-3.799940824508667,-5.3468194007873535
15,-4.697033882141113,-4.424394130706787,-4.578994274139404,-3.799940824508667,-5.3468194007873535
16,-4.728973865509033,-4.362180709838867,-4.544895648956299,-3.799940824508667,-5.3468194007873535
17,-4.695281505584717,-4.334616184234619,-4.572251319885254,-3.799940824508667,-5.402048587799072
18,-4.5818352699279785,-4.314788341522217,-4.546635627746582,-3.799940824508667,-5.402048587799072
19,-4.598216533660889,-3.9792702198028564,-4.526244163513184,-3.799940824508667,-5.402048587799072
20,-4.746542453765869,-4.341639518737793,-4.599564552307129,-3.799940824508667,-5.402048587799072
