iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-0.926785409450531,-0.5143836736679077,-0.9294304251670837,-0.5143836736679077,-1.3494218587875366
2,-0.992321789264679,-0.724574089050293,-0.940744936466217,-0.5143836736679077,-1.3494218587875366
3,-0.8648270964622498,-0.5111525058746338,-0.8627326488494873,-0.5111525058746338,-1.3494218587875366
4,-0.8993918895721436,-0.5027015805244446,-0.9113178849220276,-0.5027015805244446,-1.3494218587875366
5,-0.9106752872467041,-0.6745798587799072,-0.8989875316619873,-0.5027015805244446,-1.3494218587875366
6,-0.8883082866668701,-0.6610604524612427,-0.790743350982666,-0.5027015805244446,-1.3610410690307617
7,-0.9046905636787415,-0.4617158770561218,-0.8504586219787598,-0.4617158770561218,-1.838507056236267
8,-0.8535890579223633,-0.5418790578842163,-0.808086097240448,-0.4617158770561218,-1.838507056236267
9,-0.8215818405151367,-0.5217919945716858,-0.8050253987312317,-0.4617158770561218,-1.838507056236267
10,-0.8734687566757202,-0.5355256199836731,-0.8939406871795654,-0.4617158770561218,-1.838507056236267
11,-0.8983297944068909,-0.5199899077415466,-0.7743156552314758,-0.4617158770561218,-1.9405620098114014
12,-0.8052566647529602,-0.535774290561676,-0.7601418495178223,-0.4617158770561218,-1.9405620098114014
13,-0.7758198380470276,-0.49068427085876465,-0.7338812351226807,-0.4617158770561218,-1.9405620098114014
14,-0.7820565700531006,-0.5100757479667664,-0.7526552677154541,-0.4617158770561218,-1.9405620098114014
15,-0.7750825881958008,-0.4846760928630829,-0.7939819097518921,-0.4617158770561218,-1.9405620098114014
16,-0.747439444065094,-0.48951756954193115,-0.6981905102729797,-0.4617158770561218,-1.9405620098114014
17,-0.6940232515335083,-0.522553563117981,-0.6922917366027832,-0.4617158770561218,-1.9405620098114014
18,-0.6912988424301147,-0.4872516393661499,-0.7193780541419983,-0.4617158770561218,-1.9405620098114014
19,-0.6726713180541992,-0.4584539234638214,-0.6563661098480225,-0.4584539234638214,-1.9405620098114014
20,-0.7378200888633728,-0.46761006116867065,-0.7347067594528198,-0.4584539234638214,-1.9405620098114014
